text,created_at,author/followers_count,author/screen_name
"RT @ArtbyAWOHS: He said after he chased women out of the workforce for 5 yrs, MT @BarackObama..starts with making sure every woman is getti…",1395343475,745,Shanghaibeast
"He said after he chased women out of the workforce for 5 yrs, MT @BarackObama..starts with making sure every woman is getting a fair shot.""",1395343441,4289,ArtbyAWOHS
"We? Really? MT @BarackObama: ""We've got to build an economy that works for everybody, not just for a few.""President Obama #OpportunityForAll",1395343400,755,akhanukov
MT @BarackObama LIVE: Pres is speaking about improving economic opportunity 4 women/working families. http://t.co/5YzGUsmtbp #WomenSucceed,1395343165,10231,MsLatina
"Our mission: MT @BarackObama: ""We've got to build an economy that works for everybody, not just for a few."" — Pres Obama #OpportunityForAll",1395342732,338,MAFairShare
MT .@LawfareProject: An Analysis of .@BarackObama's  Terrorism Doctrine http://t.co/qjevnt7L5Q via @drrichswier &gt;Doctrine of US Destruction!,1395342114,623,OurFreedom1787
Now @BarackObama's address makes sense &gt; MT @AyannaPressley: Worcester a model for Boston’s only vocational school http://t.co/UM7k5De54I,1395341866,578,lorenealicia
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395341783,654,MaryKateC
MT @senatornanrich: I support @BarackObama and always have. But I'm happy to spend this evening with Dems who want a real Democrat as Gov,1395340611,2158,mjmishak
MT BREAKING @BarackObama flies @united “@LANow: JUST IN: @BarackObama to deliver commencement address @UCIrvine” http://t.co/ZfPWgwXAvy,1395339625,88,spochic
RT @BarackObama: Tattoos not included. MT @jasonderulo: 2night the #VMA’s... who can tell me what's dropping Oct 1? Hint: go 2 http://t.co/…,1395339304,48,ObamaCare_TPE
RT @BarackObama: Thanks for spreading the word. #ROAR MT @katyperry: RT @BarackObama: Get affordable coverage starting Oct. 1 http://t.co/1…,1395339299,48,ObamaCare_TPE
#MarchMadness MT @OU_Softball: Photo has arrived! Amazing honor for the #Sooners to meet @BarackObama last week http://t.co/LYOGRthmyW,1395338899,1699,PeteMoris
"@Pontifex @BarackObama
MT @Speciesism
Hats off to this guy!
http://t.co/xg9w2aV1b8
#OWS #UniteBlue #Eco #Latism #AJAMStream @normangoldman",1395338429,1798,OccupyCompanies
Tying up #traffic~MT @MyFoxOrlando: .@BarackObama motorcade en route #ObamaAtValencia http://t.co/CJDAup2jPr  #FOX35 @AJacksonTV,1395338373,2107,WomensDCProject
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395338333,1473,Oldlady12345
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395338308,2039,acwzywabit
“@BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/bTQvP1hESV”,1395337992,3,KoubVika
RT @tobytobitobe: This happened RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. http://t.co/…,1395337900,282,RyanDMiller
MT @MyFoxOrlando: .@BarackObama motorcade is en route to Valencia College,1395337688,387,JonGaled
Proud to be an Anteater! MT: Congrats to our friends @ucirvine! Can't wait to see @BarackObama with @PeterTAnteater! http://t.co/WZq7h2lI3H”,1395337669,52,arianatoorani
"MT :@usislam: Is @BarackObama  improving relations with the Islamic world? Read why it matters:
http://t.co/r5W3843Yok""",1395337575,588,corporatesufi
